course_id,course_name,summary,category_name,duration_hours,recommended_grade,course_structure
15,devops basics (for non-technical specialists),"в данном курсе вы узнаете, кто такой devops и как им стать; что нужно знать, чтобы быть успешным devops-ом; философию devops; построение процесса ci/cd, gitflow и многое другое.",Devops + All Engineering,12.0,J,"devops intro, ci/cd intro, облачные провайдеры и технологии, контейнеризация, виртуализация приложений, сервисы по сбору и работе с логами, сервисы по сбору и работе с метриками, принципы балансирования приложений и сервисов, сборщики и серверы автоматизации, автоматические анализаторы кода, построение процесса ci/cd, gitflow, средства помощи разработчикам в отладке и улучшении кода, организация процесса применения новых версий по, фидбэк о курсе"
16,agile with jira,"welcome to agile with atlassian jira! there are few moduls where you can find an overview of the agile mindset, scrum, including scrum concepts. you'll get a foundational understanding of lean and agile principles. one of the module focuses on configuring jira to match your agile process.",Pm/Dm,12.0,J,"agile overview, jira overview, visualizing work: boards, kanban overview, module 1 assessment, agile overview ii, configure jira i, configure jira ii, final project, feedback about the course"
17,js online (скрыт),"javascript это язык, который позволяет вам применять сложные вещи на web странице - каждый раз, когда на web странице происходит что-то большее, чем просто её статичное отображение - можете быть уверены, что скорее всего, не обошлось без javascript.",Js Core,18.0,J,"1. ознакомление с программой курсов, их правилами, код стайлом домашнего задания, dry, kiss, yagni, основными принципами git, 2. рекурсия, стек, очередь, this, call, bind, apply, 3. oop, прототипное наследование, классы, примеры наследования на es5, es6, 4. promise, async\await, 5. асинхронность, 6. rest, типы запросов, 7. оор, 8. dom, 9. css, вёрстка, repeating, подготовка к работе над проектами, 10. practice, 11. angular, 12. vue.js, фидбек о курсе"
18,git basics,"в данном курсе вы узнаете о самой часто используемой системе контроля версий — git. вы получите информацию об основных понятиях git, о том, как его установить, как использовать, какое бывает ветвление в git, как создавать и переименовывать ветки git и другое.",Devops + All Engineering,4.0,J,"что такое git?, установка git, основные понятия git (репозиторий, ветка), использование git (базовые команды), ветвление в git: где и как использовать git branch, создание и переименование ветки git (локальная и удалённая), видео по курсу, литература и дополнительные ресурсы, итоговый тест, фидбэк о курсе"
19,pmi pmp and pmi capm,"данный курс содержит объяснение всех формул экзамена pmi pmp и pmi capm, а также разбор тестовых вопросов",Pm/Dm,8.0,J,"introduction, communication channels, value management, finance formulas, estimations, фидбек о курсе"
20,delegation,"в данном курсе вы узнаете как, когда и в какой мере делегировать и контролировать выполнение задач.",Soft Skills,12.0,,"1. как перестать работать за подчиненных, 2. делегирование руками сотрудника, 3. сопротивление подчиненных: причины и методы нейтрализации, 4. как нейтрализовать практику возврата поручений, 5. как делегировать полномочия и формировать ответственность, 6. как правильно подготовить задание для делегирования, 7. как делегировать задание с максимальной точностью, 8. как правильно завершить делегирование, чтобы повысить вероятность исполнения, фидбек о курсе"
21,control,"в данном курсе вы узнаете, как повысить качество выполняемой работы, контролируя действия и методы ваших сотрудников, но в тоже время не обидеть их недоверием.",Soft Skills,12.0,,"1. контроль: необоснованные надежды, а также психологические и технологические сложности применения, 2. контроль и/или доверие: как обеспечить результат и не обидеть подчинённых, 3. 9 естественных и типичных ошибок в применении контроля, 4. психология контроля: как обеспечить понимание и нейтрализовать ложь , 5. каскадирующий контроль: как понять, что в действительности происходит на всех иерархических уровнях подчинённой структуры , 6. контроль превентивный и контроль промежуточный , 7. финишный контроль , 8. координирование: как правильно сопровождать рабо"
22,planning,"в данном курсе вы узнаете как правильно распоряжаться временем, придерживаться расписания, соблюдать дедлайны, избегать мультизадачности",Soft Skills,12.0,,"1. ключевые функции управленческого планирования, 2. запуск технологии управленческого планирования: стартовые процедуры, 3. разработка целей: профессиональная технология и типичные ошибки, 4. как обеспечить точность выполнения запланированных работ: декомпозиция, 5. между зелёным и квадратным: как расставить приоритеты для многомерных дел, 6. как обеспечить ясность происходящего: визуализация выполнения работ, 7. от замыслов к выполнению: строим мостик через прошивку календаря, 8. выход на капитанский мостик: осмысление пройденного, анализ текущего, проз"
23,gdpr (for ba),"gdpr — новые правила обработки персональных данных в европе для международного it-рынка. курс знакомит с основами законодательства, которое существенно повышает уровень защиты персональных данных в ес и за его пределами.",Devops + All Engineering,8.0,J,"1. введение в gdpr, 2. особенности регламента, ключевые принципы и требования, 3. особенности обработки персональных данных, права пользователей, 4. контроль защиты данных, 5. правовые аспекты, 6. внедрение gdpr в свою работу, 7. gdpr и разработка по. проектируемая приватность (privacy by design), финальный тест, бонус, фидбэк о курсе"
24,business time management,"курс познакомит вас с вопросами постановки целей, smart, планированием сложных проектов и выделением приоритетов, оценкой времени на выполнение, техникой pomodoro и матрицей эйзенхауэра, лайфхаками для фокусировки и другим.",Soft Skills,2.0,All,"вступление, цели. почему важны., проверяем постановку целей по smart, от целей к плану, четкий план для сложных проектов. техника обратного планирования, выделение приоритетов, как не уставать в течение дня. техника pomodoro, правильно оцениваем время на выполнение, лайфхаки, ошибки, какие задачи приводят к наибольшему прогрессу (матрица эйзенхауэра), что делать самому, что делегировать (абв-метод), как планировать важные дела, чтобы точно делать, лайфхаки для концентрации и фокусировки, хронофаги – похитители времени. не дай им шанс, хронофаги. телефонные звонк"
27,"looking at business through the eyes of an investor (скрыт, очищен)","венчурные фонды отсматривают тысячи компаний, чтобы в результате заключить единицы сделок. чтобы инвестировать в проект самому, нужно быть как фонд: быстро, без затрат времени, отсекать неинтересные проекты. из курса вы узнаете, на что смотрят в первую очередь и без какой информации о проекте о нем даже не думают",Sales,2.0,M,"занятие 1. введение, занятие 2. актуальность курса, занятие 3. рынок вашего бизнеса, занятие 4. отработка на примере, занятие 5. поиск ценности продукта, занятие 6. отработка на примере, занятие 7. производитель и посредник, занятие 8. отработка на примере, занятие 9. маркетплейсы, занятие 10. отработка на примере, занятие 11. прямая конкуренция: сетевой эффект, занятие 12. прямая конкуренция: эффект масштаба, занятие 13. прямая конкуренция: стоимость перехода, занятие 14. отработка на примере, занятие 15. непрямые конкуренты, занятие 16. конкуренция с поставщиками, занят"
28,how investors read presentations (скрыт),"курс посвящен секретам успеха создания продающих презентаций. на что нужно обращать внимание при подготовке и демонстрации вашей презентации, чтобы продать идею инвесторам. также в курсе - что такое pam, tam, sam, som. unit-экономика проекта. выявление конкурентных преимуществ",Sales,2.0,J,"занятие 1. введение, занятие 2. учимся читать слайды, занятие 3. отличаем фантазию от фактов, а факты от желаний, занятие 4. рассматриваем графики, занятие 5. суть проекта, занятие 6. проблема. её тоже нужно понимать, занятие 7. движение денег. кто, кому и за что платит?, занятие 8. мировой аналог, занятие 9. рынок. почему рынок – это важно, занятие 10. pam, tam, sam, som, занятие 11. почему единственно важный – sam, занятие 12. unit-экономика, занятие 13. составляющие unit-экономики проекта, занятие 14. пример unit-экономики, занятие 15. какая unit-экономика хорошая, какая плохая, занятие 16. вы"
29,meetings with facilitation,"как сделать совещания эффективными? - с помощью фасилитации! она взращивает команды, на фасилитируемых сессиях: участники учатся прислушиваться друг к другу; уважают мнение отличное от своего; находят решения и исполняют их решения с большим рвением и др.",Pm/Dm,12.0,J,"вступление, навыки фасилитатора, стадии фасилитаторной сессии, базовые техники, техника для открытия фасилитационной сессии, техники для сбора данных, техники для генерации идей, техника для планирования действий, техника для закрытия фасилитационной сессии, примеры агенд, фасилитация тимбилдингов, фасилитация скрам - встреч, фасилитация встреч, фидбэк о курсе"
30,software processes and agile practices,"in this course you'll learn to distinguish between different process models for organizing software production, to gauge the applicability of process models for a software development project, to apply the fundamentals of agile software development and management practices.",Pm/Dm,8.0,J,"module 1. introduction to processes, module 2: process models, module 3: agile practices, module 4: other practices, feedback on the course"
31,agile planning for software products,"this course covers the techniques required to break down and map requirements into plans that will ultimately drive software production. upon successful completion of this course, you will be able to create effective plans for software development; to assess and plan for project risks, etc.",Pm/Dm,8.0,J,"welcome, module 1: introduction to planning, module 2: project planning, module 3: iteration planning, module 4: risk planning, feedback about the course"
32,agile analytics,"few capabilities focus agile like a strong analytics program. such a program determines where a team should focus from one agile sprint to the next. successful analytics are rarely hard to understand and are often startling in their clarity. in this course, you'll learn how to build a strong analytics infrastructure for your team, integrating it with the core of your drive to value.",Pm/Dm,8.0,J,"module 1. introduction and customer analytics, practice 1, module 2. demand analytics, practice 2, module 3. ux analytics, practice 3, modul 4. analytics and data science, practice 4, final test, feedback about the course"
33,managing an agile team,"earn a course certificate and you're well on your way to completing the specialization, which provides a deep immersion in agile development processes and culminates in a capstone project that allows you to apply your new skills to a real-world challenge.",Pm/Dm,8.0,J,"1. the agile team, 2. learning and deciding, 3. building and managing, 4. practicing agile, feedback about the course"
34,goal setting by objective and key results (okr),"мы привыкли, что отчетность по kpi - единственный способ проанализировать эффективно ли работают сотрудники. но такие мастодонты, как google, linkedin, oracle пошли дальше и внедрили более гибкий и современный подход для управления по целям - objective and key results.",Pm/Dm,2.0,J,"1. введение, 2. базовые принципы, 3. структура okr, итоговый тест, фидбэк о курсе"
36,работа в 1с для пм (скрыт),"данный курс является туториалом по основам работы в 1с. ц ель курса - ответить на самые распространенные вопросы касательно работы пм-а в 1с, а также предотвратить наиболее часто допускаемые ошибки",Pm/Dm,8.0,J,"1. начало работы в 1с. ежедневные действия, 2. работа с позициями, 3. внутренние отзывы, отчет о фактических часах, допаллокации, апрув оверов, 4. разбор частых практических кейсов, финальный тест, фидбек о курсе"
38,fundamentals of computer networks,"курс посвящен изучению компьютерных сетей. в рамках курса рассматриваются следующие темы - классификация и стандарты компьютерных сетей , топологии компьютерных сетей, основы их организации, модель osi, модель и стек протоколов tcp/ip",Devops + All Engineering,16.0,J,"1. общие сведения о компьютерных сетях, 2. физический уровень, 3. канальный уровень, 4. сетевой уровень, 5. транспортный уровень, 6. прикладной уровень, итоговый тест по курсу, фидбек о курсе"
39,"cypress: web automation testing (скрыт, очищен)",quick and easy web ui automation from scratch with cypress 5 - a modern javascript-based framework. this course will give you a complete understanding of what is cypress framework and you will learn how to use all key framework capabilities. cypress is a very modern javascript-based framework.,Aqa,12.0,J,"about course, 1. introduction, 2. setting up development environment, 3. interaction with web elements, 4. page object design pattern, 5. working with apis, 6. advanced features, 7. final test, feedback about the course"
41,delivery at scale (icp-das),"delivery at scale - важная часть общего управления бизнесом и основной элемент в успешной реализации стратегии компании. по итогам курса вы получите понимание взаимосвязей между проектами, программами и портфелем, как выравнивать их со стратегией компании. курс рассчитан на продвинутых участников, руководителей команд, всех тех, кому важно понимать как принимаются и транслируются бизнес решения.",Pm/Dm,16.0,M,"topic 1, topic 2, topic 3, topic 4, topic 5, topic 6, topic 7, дополнительные материалы, фидбек о курсе"
42,introduction to cyber attacks,"this course provides learners with a baseline understanding of common cyber security threats, vulnerabilities, and risks. an overview of how basic cyber attacks are constructed and applied to real systems is also included.",Devops + All Engineering,6.0,J,"module 1, module 2, module 3, module 4, final test, feedback about the course"
43,lean software development,"there are some set of ideas that started to influence software development methods. these ideas around lean software development forms the foundation of number of agile methods. in this course, we will explore lean concepts and cover some of the common lean methods and techniques.",Pm/Dm,6.0,J,"module 1, module 2, module 3, module 4, feedback about the course"
44,sql for beginners: from zero to oracle certification,"данный курс оценят люди, которые уже имеют какое-то представление о sql, но в то же время вы обязательно узнаете много нового вне зависимости от уже имеющихся знаний. также о н полностью подготовит вас к сдаче экзамена от корпорации oracle.",Database,60.0,J,"1 введение в sql, 2 знакомство с select, 3 selection, операторы, order by, 4 single-row функции, 5 conversion, general и conditional функции, 6 group функции, order by, having, 7 join (объединение), 8 subquery (подзапрос), 9 set операторы (операторы множеств), 10 dml команды, 11 ddl часть 1. работа с таблицами, 12 ddl часть 2. понятия constraint и index, 13 ddl часть 3. view, synonym, sequence, 14 разное, итоговый тест, фидбэк о курсе"
45,полный курс по javascript + react - с нуля до результата (скрыт),"в данном курсе вы узнаете основы программирования и алгоритмов, основные концепции и принципы javascript; изучите такие популярные технологии как ajax, json и др; научитесь работать с git и github ; познакомитесь с react, angular, vue, jquery; научитесь создавать web-приложения и многое другое.",React,64.0,J,"1 подготовка к работе, 2 основы javascript, 3 javascript в работе, 4 продвинутый javascript, 5 библиотека react. базовый уровень, 6 библиотека react. средний уровень, 7 react + redux, 8 реальный проект на js в классическом стиле, итоговый тест, фидбэк о курсе"
46,agile product ownership (icp-apo),agile product ownership (acp-apo) - один из тренингов в треке product ownership дорожной карты обучения icagile. т ренинг ориентирован на: п олучение готового набора инструментов продуктового менеджера и владельца продукта; п олучение структурного видения построения карьеры продуктового менеджера и другое.,Pm/Dm,12.0,J,", icp-apo workbook, занятие 1, занятие 2, занятие 3, занятие 4, занятие 5, занятие 6, итоговый тест по курсу, фидбек о курсе"
47,agile meets design thinking,"despite everyone's good intentions, hard work and solid ideas, too many teams end up creating products that no one can use, and no one buys. but it doesn't have to be this way. agile and design thinking offer a different-and effective-approach to product development, one that results in valuable solutions to meaningful problems.",Pm/Dm,6.0,J,"module 1, module 2, module 3, module 4, feedback about the course"
48,devops culture and mindset,"this course gives you the core principles of devops with a particular focus on its culture and mindset. you'll learn about ideas regarding systems thinking, feedback loops and continuous learning. moreover, you'll find out about work management strategies that will enable you to monitor, organize and maintain your work at a high level, provided you follow the key devops principles, etc.",Devops + All Engineering,6.0,J,"module 1, module 2, module 3, module 4, feedback about the course"
49,version control with git,"in this course, you will not learn everything there is to know about git, but you will build a strong understanding of the technology, and afterward will be able to confidently dig deeper on any topic that interests you. this course assumes no previous knowledge of git, but if you do have experience with it, you may also find this course useful.",Devops + All Engineering,8.0,J,"module 1, module 2, module 3, module 4, final test, feedback about the course"
50,agile essentials with scrum and kanban (icp),"данный курс для тех, кто не знаком с принципами гибкой разработки, или желает структурировать имеющиеся знания. он будет полезен как для членов команды разработки, так и для менеджеров и руководителей. курс посвящен основным agile фреймворкам, базовым принципам гибких методологий и способам внедрения agile в свои проекты.",Pm/Dm,24.0,J,"topic 1, topic 2, topic 3, topic 4, topic 5, topic 6, topic 7, topic 8, topic 9, topic 10, финальный тест, дополнительные материалы, фидбэк о курсе"
51,organisational behaviour know your people,in this course you’ll explore a range of concepts and methodologies that will help you to optimise your work environment. via structured learning activities you will be exposed to the latest practice leadership strategies to enable your employees to achieve more at work.,Pm/Dm,4.0,J,"module 1, practice 1, module 2, practice 2, module 3, practice 3, module 4, practice 4, module 5, practice 5, module 6, practice 6, final test, feedback about the course"
52,design thinking for innovation,in this course we provide an overview of design thinking and work with a model containing four key questions and several tools to help you understand design thinking as a problem solving approach. we also look at several stories from different organizations that used design thinking to uncover compelling solutions.,Soft Skills,4.0,M,"module 1, module 2, module 3, module 4, final assignment overview, feedback about the course"
53,how to validate your startup idea,"starting a new business begins with an idea that needs to evolve through experimentation, iteration and interactions with people. this course is for existing and potential entrepreneurs who are looking for guidance and support to make their ‘great idea’ a reality.",Pm/Dm,4.0,J,"module 1, module 2, module 3, module 4, module 5, module 6, feedback about the course"
54,presale management,"pre-sales - важная часть процесса реализации, который применяется в разных сферах деятельности и бизнес-моделях. в курсе вы познакомитесь с компонентами процесса presale, профилем заказчика и квалификацией лида, планом коммуникации с заказчиком и управлением его ожиданиями и др.",Pm/Dm,16.0,J,"1. введение, 2. профиль заказчика и квалификация лида, 3. управление ожиданиями заказчика, 4. план коммуникации, формирование ожиданий, 5. типы контрактов, особенности, применимость, выбор, 6. proposal: расписание, team composition, cost проекта, 7. бюджетирование, 8. контрактные условия: приемка, гарантия, sla, мотивация, итоговый тест, дополнительная информация, фидбэк о курсе"
55,нагрузочное тестирование (скрыт),"нагрузочное тестирование - тестирование времени отклика приложения на запросы различных типов, с целью удостовериться, что приложение работает в соответствии с требованиями при обычной пользовательской нагрузке. из курса вы узнаете о нагрузках, профилях и требованиях, архитектуре систем, типах и видах тестов и другом.",Qa,24.0,M,"тема 1. введение, тема 2. теория (тервер и тмо), тема 3. нагрузка, профили, требования, тема 4. архитектура систем, тема 5. виды и типы ‘нагрузочных’ тестов, тема 6. инструменты, среды, механизация, тема 7. подходы и методики тестирования, тема 8. практика, кейсы, разбор, тема 9. заключение, вопросы, фидбэк о курсе"
56,ux research,"ux-исследование или, как его иногда называют, исследование дизайна, служит многим целям в процессе проектирования. оно помогает нам определить и подтвердить или опровергнуть наши предположения, найти общие черты в членах нашей целевой аудитории, распознать их потребности, цели и ментальные модели. курс на украинском языке.",Ux/Ui,32.0,M,"занятие 1. задачи и методы дизайн-исследований, занятие 2. бизнес-интервью, занятие 3. исследовательская стратегия, занятие 4. опросы, занятие 5. наблюдения, занятие 6. usability-тестирование, занятие 7. интервью, занятие 8. grounded theory, занятие 9. интервью с сергеем кудряшовым, занятие 10. интервью с олей красько, занятие 11. pov и jtbd, занятие 12. empathy maps, занятия 13. customer journey mapping, занятия 14. how might we, занятия 15. ideation, занятия 16. быстрая оценка ранних концепций, занятие 17. презентация результатов, вебинары, дополнительные материалы, итоговый тест, фидбэк о курсе"
57,istqb,"this course is designed for all the students who are writing the istqb/astqb foundation level exam for the first time and don't know what types of questions are asked by the istqb. for each istqb topic mentioned in istqb/astqb syllabus, the question is provided, which will give you the fair idea what types of questions are asked by the istqb/astqb.",Qa,36.0,M,"introduction, 1 explanation, 1 revision, 2 explanation, 2 revision, 3 explanation, 4 explanation, 4 quiz, 5 explanation, 5 revision, 6 explanation, 7 previous years question paper (2017 to 2020 question paper), 8 bonus lecture & selftest, final test, feedback about the course"
58,the art of negotiation for rm,"переговоры — коммуникация между сторонами для достижения своих целей, при которой каждая из сторон имеет равные возможности в контроле ситуации и принятии решения, которое закрепляется договором.",Rm,24.0,,"1. базовые понятия в картине мира (км), 2. техники перехвата и удержания управления, 3. базовые сценарии в переговорах, 4. переговорные приемы, фидбэк о курсе"
59,ux/ui course,"ux/ui - дизайн - это проектирование любых пользовательских интерфейсов, в которых важны как внешний вид, так и удобство использования. ui - это то, как пользователь взаимодействует с продуктом. достижима ли его цель, насколько просто или сложно это сделать. ui - это все, с чем человек взаимодействует при использовании цифрового продукта.",Ux/Ui,48.0,J,"1. дизайн, интерфейс, uxi, 2. uxi, устройства, взаимодействие, 3. uxi, исследование, методы, 4. user centered desigh, 5. jobs to be done, 6. ui, софт, figma, 7. local styles, 8. components, autolayout, 9. wireframes, prototypes, 10. grids, design system, 11. elements, states, 12. ios, android, 13. charts, data, 14. spreed, sheets, 15. typography, 16. fast ui creation, 17. case studies , 18. final, итоговый тест, фидбэк о курсе"
61,экономика для неэкономистов,"главная цель курса - заложить у наших слушателей основы экономической грамотности, ""экономического образа мышления"" и показать, как экономические знания могут применяться в реальной жизни. курс включает важнейшие и наиболее связанные с повседневной жизнью темы из двух разделов экономической теории, микроэкономики и макроэкономики.",Sales,24.0,,"1. основы экономической теории, 1.2 основы экономической теории, 2. основные макроэкономические показатели, 3. колебания экономической активности, 4. эластичности в экономике, 5. как фирма получает прибыль, 6. издержки фирмы в долгосрочном периоде, основные понятия, 7. конкурентная среда бизнеса: типы рынков, 8. монополия, олигополия, 9. дисконтирование, общественные блага, несовершенство информации в рыночной экономике, фидбек о курсе"
62,hidden management and influence,"манипулирование часто встречается в нашей жизни, это один из способов выживания и достижения своих целей в этом мире. результативно манипулировать людьми довольно непросто. однако большинство людей все равно пытается управлять друг другом, в основном интуитивно руководствуясь самыми поверхностными знаниями в этой области.",Soft Skills,16.0,,"1. трехвекторная модель влияния. способы психологического влияния, 2. типы личности/личностных адаптаций. драйверы, 3. влияние через драйверы, 4. сценарные игры и манипуляции. трудовая мотивация, 5. метапрограммы, 6. скрытые и явные транзакции. коммуникативный квадрат. влияние через конфликт, 7. приемы отработки конфликтной коммуникации, итоговый тест по курсу, фидбэк о курсе"
